kgID	mRNA	geneSymbol	refseq
uc022blm.1	-	5_8S_rRNA	-
uc021ofx.1	-	5S_rRNA	-
uc021olu.1	-	5S_rRNA	-
uc021ome.1	-	5S_rRNA	-
uc021oov.1	-	5S_rRNA	-
uc021opl.1	-	5S_rRNA	-
uc021osl.1	-	5S_rRNA	-
uc021ovd.1	-	5S_rRNA	-
uc021ovp.1	-	5S_rRNA	-
uc021pdq.1	-	5S_rRNA	-
uc021pdv.1	-	5S_rRNA	-
uc021pdw.1	-	5S_rRNA	-
uc021ped.1	-	5S_rRNA	-
uc021pff.1	-	5S_rRNA	-
uc021pft.1	-	5S_rRNA	-
uc021phz.1	-	5S_rRNA	-
uc021pmi.1	-	5S_rRNA	-
uc021pmw.1	-	5S_rRNA	-
uc021pnb.1	-	5S_rRNA	-
uc021poq.1	-	5S_rRNA	-
uc021pou.1	-	5S_rRNA	-
uc021ptv.1	-	5S_rRNA	-
uc021pwj.1	-	5S_rRNA	-
uc021pwo.1	-	5S_rRNA	-
uc021pxx.1	-	5S_rRNA	-
uc021qdg.1	-	5S_rRNA	-
uc021qeb.1	-	5S_rRNA	-
uc021qfe.1	-	5S_rRNA	-
uc021qmn.1	-	5S_rRNA	-
uc021qox.1	-	5S_rRNA	-
uc021qqc.1	-	5S_rRNA	-
uc021qqh.1	-	5S_rRNA	-
uc021qsf.1	-	5S_rRNA	-
uc021qvm.1	-	5S_rRNA	-
uc021qzz.1	-	5S_rRNA	-
uc021rcl.1	-	5S_rRNA	-
uc021rij.1	-	5S_rRNA	-
uc021rjt.1	-	5S_rRNA	-
uc021rli.1	-	5S_rRNA	-
uc021rlm.1	-	5S_rRNA	-
uc021rln.1	-	5S_rRNA	-
uc021rmi.1	-	5S_rRNA	-
uc021rmm.1	-	5S_rRNA	-
uc021rva.1	-	5S_rRNA	-
uc021rwx.1	-	5S_rRNA	-
uc021rym.1	-	5S_rRNA	-
uc021sjn.1	-	5S_rRNA	-
uc021snj.1	-	5S_rRNA	-
uc021stz.1	-	5S_rRNA	-
uc021tcu.1	-	5S_rRNA	-
uc021tcv.1	-	5S_rRNA	-
uc021tfq.1	-	5S_rRNA	-
uc021tjk.1	-	5S_rRNA	-
uc021tly.1	-	5S_rRNA	-
uc021tnx.1	-	5S_rRNA	-
uc021tov.1	-	5S_rRNA	-
uc021ubz.1	-	5S_rRNA	-
uc021ujp.1	-	5S_rRNA	-
uc021urx.1	-	5S_rRNA	-
uc021vfh.1	-	5S_rRNA	-
uc021vfo.1	-	5S_rRNA	-
uc021vfu.1	-	5S_rRNA	-
uc021vhy.1	-	5S_rRNA	-
uc021vib.1	-	5S_rRNA	-
uc021vih.1	-	5S_rRNA	-
uc021vjl.1	-	5S_rRNA	-
uc021vjp.1	-	5S_rRNA	-
uc021vju.1	-	5S_rRNA	-
uc021vnc.1	-	5S_rRNA	-
uc021vqb.1	-	5S_rRNA	-
uc021vqp.1	-	5S_rRNA	-
uc021vrv.1	-	5S_rRNA	-
uc021vrx.1	-	5S_rRNA	-
uc021vtp.1	-	5S_rRNA	-
uc021vvw.1	-	5S_rRNA	-
uc021vzi.1	-	5S_rRNA	-
uc021wah.1	-	5S_rRNA	-
uc021wds.1	-	5S_rRNA	-
uc021wek.1	-	5S_rRNA	-
uc021wfa.1	-	5S_rRNA	-
uc021whx.1	-	5S_rRNA	-
uc021wjp.1	-	5S_rRNA	-
uc021wog.1	-	5S_rRNA	-
uc021wpw.1	-	5S_rRNA	-
uc021wuf.1	-	5S_rRNA	-
uc021wuz.1	-	5S_rRNA	-
uc021wyq.1	-	5S_rRNA	-
uc021wzq.1	-	5S_rRNA	-
uc021wzu.1	-	5S_rRNA	-
uc021wzx.1	-	5S_rRNA	-
uc021xai.1	-	5S_rRNA	-
uc021xde.1	-	5S_rRNA	-
uc021xdi.1	-	5S_rRNA	-
uc021xeg.1	-	5S_rRNA	-
uc021xeo.1	-	5S_rRNA	-
uc021xev.1	-	5S_rRNA	-
uc021xez.1	-	5S_rRNA	-
uc021xfx.1	-	5S_rRNA	-
uc021xlz.1	-	5S_rRNA	-
uc021xqf.1	-	5S_rRNA	-
uc021xsq.1	-	5S_rRNA	-
uc021xug.1	-	5S_rRNA	-
uc021xwn.1	-	5S_rRNA	-
uc021xxd.1	-	5S_rRNA	-
uc021xxi.1	-	5S_rRNA	-
uc021xys.1	-	5S_rRNA	-
uc021yks.1	-	5S_rRNA	-
uc021ymh.1	-	5S_rRNA	-
uc021zdo.1	-	5S_rRNA	-
uc021zea.1	-	5S_rRNA	-
uc021zez.1	-	5S_rRNA	-
uc021zfd.1	-	5S_rRNA	-
uc021zft.1	-	5S_rRNA	-
uc021zgc.1	-	5S_rRNA	-
uc021zgn.1	-	5S_rRNA	-
uc022abq.1	-	5S_rRNA	-
uc022akm.1	-	5S_rRNA	-
uc022amt.1	-	5S_rRNA	-
uc022aor.1	-	5S_rRNA	-
uc022atj.1	-	5S_rRNA	-
uc022atr.1	-	5S_rRNA	-
uc022att.1	-	5S_rRNA	-
uc022avo.1	-	5S_rRNA	-
uc022axx.1	-	5S_rRNA	-
uc022bex.1	-	5S_rRNA	-
uc022bia.1	-	5S_rRNA	-
uc022bkv.1	-	5S_rRNA	-
uc022blh.1	-	5S_rRNA	-
uc022bll.1	-	5S_rRNA	-
uc022blx.1	-	5S_rRNA	-
uc022bmb.1	-	5S_rRNA	-
uc022bnt.1	-	5S_rRNA	-
uc022bvb.1	-	5S_rRNA	-
uc022byo.1	-	5S_rRNA	-
uc022bzg.1	-	5S_rRNA	-
uc022cdx.1	-	5S_rRNA	-
uc022cer.1	-	5S_rRNA	-
uc031tkn.1	-	5S_rRNA	-
uc022cgh.1	-	5S_rRNA	-
uc010jrh.1	AJ459854	6M1-18	-
uc011ehu.1	AJ459854	6M1-18	-
uc011ets.1	AJ459854	6M1-18	-
uc011fse.1	AJ459854	6M1-18	-
uc011gok.1	AJ459854	6M1-18	-
uc011hhr.1	AJ459854	6M1-18	-
uc011ief.1	AJ459854	6M1-18	-
uc011jby.1	AJ459854	6M1-18	-
uc003wdr.3	AJ459868	7M1-2	-
uc021okx.1	-	7SK	-
uc021onz.1	-	7SK	-
uc021ood.1	-	7SK	-
uc021opr.1	-	7SK	-
uc021oqh.1	-	7SK	-
uc021oql.1	-	7SK	-
uc021peu.1	-	7SK	-
uc021pgn.1	-	7SK	-
uc021pjn.1	-	7SK	-
uc021pkw.1	-	7SK	-
uc021poa.1	-	7SK	-
uc021pok.1	-	7SK	-
uc021prs.1	-	7SK	-
uc021pvp.1	-	7SK	-
uc021pxy.1	-	7SK	-
uc021pyd.1	-	7SK	-
uc021qea.1	-	7SK	-
uc021qgj.1	-	7SK	-
uc021qjg.1	-	7SK	-
uc021qmf.1	-	7SK	-
uc021qsa.1	-	7SK	-
uc021qvo.1	-	7SK	-
uc021ras.1	-	7SK	-
uc021rby.1	-	7SK	-
uc021rcb.1	-	7SK	-
uc021ree.1	-	7SK	-
uc021ref.1	-	7SK	-
uc021req.1	-	7SK	-
uc021rio.1	-	7SK	-
uc021rkc.1	-	7SK	-
uc021rls.1	-	7SK	-
uc021rlx.1	-	7SK	-
uc021rxe.1	-	7SK	-
uc021ryi.1	-	7SK	-
uc021sbr.1	-	7SK	-
uc021snk.1	-	7SK	-
uc021tff.1	-	7SK	-
uc021tig.1	-	7SK	-
uc021tlm.1	-	7SK	-
uc021tlu.1	-	7SK	-
uc021tlv.1	-	7SK	-
uc021tvr.1	-	7SK	-
uc021uag.1	-	7SK	-
uc021ual.1	-	7SK	-
uc021ugk.1	-	7SK	-
uc021ujh.1	-	7SK	-
uc021ujn.1	-	7SK	-
uc021veg.1	-	7SK	-
uc021vgp.1	-	7SK	-
uc021vhc.1	-	7SK	-
uc021vhv.1	-	7SK	-
uc021vnm.1	-	7SK	-
uc021vpx.1	-	7SK	-
uc021vqa.1	-	7SK	-
uc021vtz.1	-	7SK	-
uc021vuc.1	-	7SK	-
uc021wan.1	-	7SK	-
uc021wav.1	-	7SK	-
uc021wcm.1	-	7SK	-
uc021wcp.1	-	7SK	-
uc021wdw.1	-	7SK	-
uc021wew.1	-	7SK	-
uc021wlw.1	-	7SK	-
uc021wmf.1	-	7SK	-
uc021wmi.1	-	7SK	-
uc021wnk.1	-	7SK	-
uc021wor.1	-	7SK	-
uc021wzn.1	-	7SK	-
uc021xfb.1	-	7SK	-
uc021xgl.1	-	7SK	-
uc021xgz.1	-	7SK	-
uc021xhn.1	-	7SK	-
uc021xho.1	-	7SK	-
uc021xia.1	-	7SK	-
uc021xit.1	-	7SK	-
uc021xkx.1	-	7SK	-
uc021xnw.1	-	7SK	-
uc021xom.1	-	7SK	-
uc021xpt.1	-	7SK	-
uc021xqa.1	-	7SK	-
uc021xqe.1	-	7SK	-
uc021xqg.1	-	7SK	-
uc021xri.1	-	7SK	-
uc021xsh.1	-	7SK	-
uc021xsw.1	-	7SK	-
uc021xtx.1	-	7SK	-
uc021xus.1	-	7SK	-
uc021xuv.1	-	7SK	-
uc021xwt.1	-	7SK	-
uc021xxu.1	-	7SK	-
uc021ycc.1	-	7SK	-
uc021yce.1	-	7SK	-
uc021yci.1	-	7SK	-
uc021yco.1	-	7SK	-
uc021yhh.1	-	7SK	-
uc021zaf.1	-	7SK	-
uc021zat.1	-	7SK	-
uc021zcs.1	-	7SK	-
uc021zee.1	-	7SK	-
uc021zeq.1	-	7SK	-
uc021zfi.1	-	7SK	-
uc021zfs.1	-	7SK	-
uc021zgf.1	-	7SK	-
uc022ahv.1	-	7SK	-
uc022ajs.1	-	7SK	-
uc022akn.1	-	7SK	-
uc022amj.1	-	7SK	-
uc022aqs.1	-	7SK	-
uc022atx.1	-	7SK	-
uc022auz.1	-	7SK	-
uc022avb.1	-	7SK	-
uc022axn.1	-	7SK	-
uc022azc.1	-	7SK	-
uc022azk.1	-	7SK	-
uc022bap.1	-	7SK	-
uc022bbl.1	-	7SK	-
uc022bbo.1	-	7SK	-
uc022bdt.1	-	7SK	-
uc022bge.1	-	7SK	-
uc022bic.1	-	7SK	-
uc022blg.1	-	7SK	-
uc022bmq.1	-	7SK	-
uc022btd.1	-	7SK	-
uc022bts.1	-	7SK	-
uc022bzn.1	-	7SK	-
uc022cab.1	-	7SK	-
uc022cfk.1	-	7SK	-
uc002qsd.4	NM_130786	A1BG	NM_130786
uc002qsf.2	AK124712	A1BG	NM_130786
uc002qsg.3	NR_015380	A1BG-AS1	NR_015380
uc002qse.3	BC040926	A1BG-AS1	-
uc009xov.3	NM_001198818	A1CF	NM_001198818
uc010qho.2	NM_001198819	A1CF	NM_001198819
uc010qhn.2	NM_001198820	A1CF	NM_001198820
uc001jji.3	NM_014576	A1CF	NM_014576
uc001jjj.3	NM_138932	A1CF	NM_138932
uc001jjh.3	NM_138933	A1CF	NM_138933
uc001jjk.1	BC054873	A1CF	-
uc001qvk.1	NM_000014	A2M	NM_000014
uc009zgk.1	AK307832	A2M	-
uc009zgj.1	NR_026971	A2M-AS1	NR_026971
uc001quz.5	NM_144670	A2ML1	NM_144670
uc010sgm.3	NR_046256	A2ML1	NM_144670
uc001qva.1	AK123592	A2ML1	NM_144670
uc001qvb.1	AK057908	A2ML1	-
uc021qum.1	NR_040112	A2MP1	NR_040112
uc031plq.1	NM_001080438	A3GALT2	NM_001080438
uc003bdb.3	NM_017436	A4GALT	NM_017436
uc021wqq.1	CCDS14041	A4GALT	NM_017436
uc021wqo.1	GU902277	A4GALT	NM_017436
uc010gzd.3	AK312927	A4GALT	NM_017436
uc021wqp.1	GU902276	A4GALT	NM_017436
uc021wqr.1	GU902281	A4GALT	-
uc003ers.2	NM_016161	A4GNT	NM_016161
uc002hhv.3	NR_037584	AA06	NR_037584
uc001scs.4	NM_001173466	AAAS	NM_001173466
uc001scr.4	NM_015665	AAAS	NM_015665
uc001uhc.3	NM_023928	AACS	NM_023928
uc009zyi.3	BC040574	AACS	NM_023928
uc001uhd.3	BC041000	AACS	-
uc009zyh.3	AK022740	AACS	-
uc009zyg.2	AK304176	AACS	-
uc011dgk.2	NR_024035	AACSP1	NR_024035
uc011dgl.2	BC144474	AACSP1	-
uc003mjk.3	BC024222	AACSP1	-
uc003eze.3	NM_001086	AADAC	NM_001086
uc003ezc.3	NM_207365	AADACL2	NM_207365
