"Ensembl_nodot"	"ENTREZID"	"Symbol"	"gene_type"	"Chr"	"Start"	"End"	"Strand"
"ENSG00000000003"	"7105"	"TSPAN6"	"protein_coding"	"chrX"	99883667	99894988	"-"
"ENSG00000000005"	"64102"	"TNMD"	"protein_coding"	"chrX"	99839799	99854882	"+"
"ENSG00000000419"	"8813"	"DPM1"	"protein_coding"	"chr20"	49551404	49575092	"-"
"ENSG00000000457"	"57147"	"SCYL3"	"protein_coding"	"chr1"	169818772	169863408	"-"
"ENSG00000000460"	"55732"	"C1orf112"	"protein_coding"	"chr1"	169631245	169823221	"+"
"ENSG00000000938"	"2268"	"FGR"	"protein_coding"	"chr1"	27938575	27961788	"-"
"ENSG00000000971"	"3075"	"CFH"	"protein_coding"	"chr1"	196621008	196716634	"+"
"ENSG00000001036"	"2519"	"FUCA2"	"protein_coding"	"chr6"	143815948	143832827	"-"
"ENSG00000001084"	"2729"	"GCLC"	"protein_coding"	"chr6"	53362139	53481768	"-"
"ENSG00000001167"	"4800"	"NFYA"	"protein_coding"	"chr6"	41040684	41067715	"+"
"ENSG00000001460"	"90529"	"STPG1"	"protein_coding"	"chr1"	24683489	24743424	"-"
"ENSG00000001461"	"57185"	"NIPAL3"	"protein_coding"	"chr1"	24742284	24799466	"+"
"ENSG00000001497"	"81887"	"LAS1L"	"protein_coding"	"chrX"	64732462	64754655	"-"
"ENSG00000001561"	"22875"	"ENPP4"	"protein_coding"	"chr6"	46097730	46114436	"+"
"ENSG00000001617"	"6405"	"SEMA3F"	"protein_coding"	"chr3"	50192478	50226508	"+"
"ENSG00000001626"	"1080"	"CFTR"	"protein_coding"	"chr7"	117105838	117356025	"+"
"ENSG00000001629"	"54467"	"ANKIB1"	"protein_coding"	"chr7"	91875548	92030698	"+"
"ENSG00000001630"	"1595"	"CYP51A1"	"protein_coding"	"chr7"	91741465	91772266	"-"
"ENSG00000001631"	"889"	"KRIT1"	"protein_coding"	"chr7"	91828283	91875480	"-"
"ENSG00000002016"	"5893"	"RAD52"	"protein_coding"	"chr12"	1021243	1099219	"-"
"ENSG00000002330"	"572"	"BAD"	"protein_coding"	"chr11"	64037302	64052176	"-"
"ENSG00000002549"	"51056"	"LAP3"	"protein_coding"	"chr4"	17578815	17609595	"+"
"ENSG00000002586"	"4267"	"CD99"	"protein_coding"	"chrX"	2609220	2659350	"+"
"ENSG00000002587"	"9957"	"HS3ST1"	"protein_coding"	"chr4"	11394774	11431389	"-"
"ENSG00000002726"	"26"	"AOC1"	"protein_coding"	"chr7"	150521715	150558592	"+"
"ENSG00000002745"	"51384"	"WNT16"	"protein_coding"	"chr7"	120965421	120981158	"+"
"ENSG00000002746"	"23072"	"HECW1"	"protein_coding"	"chr7"	43152198	43605600	"+"
"ENSG00000002822"	"8379"	"MAD1L1"	"protein_coding"	"chr7"	1855429	2272878	"-"
"ENSG00000002834"	"3927"	"LASP1"	"protein_coding"	"chr17"	37026112	37078023	"+"
"ENSG00000002919"	"29916"	"SNX11"	"protein_coding"	"chr17"	46180719	46200436	"+"
"ENSG00000002933"	"55365"	"TMEM176A"	"protein_coding"	"chr7"	150497491	150502208	"+"
"ENSG00000003056"	"4074"	"M6PR"	"protein_coding"	"chr12"	9092959	9102551	"-"
"ENSG00000003096"	"90293"	"KLHL13"	"protein_coding"	"chrX"	117031776	117251303	"-"
"ENSG00000003137"	"56603"	"CYP26B1"	"protein_coding"	"chr2"	72356367	72375167	"-"
"ENSG00000003147"	"3382"	"ICA1"	"protein_coding"	"chr7"	8152814	8302317	"-"
"ENSG00000003249"	"79007"	"DBNDD1"	"protein_coding"	"chr16"	90071273	90086536	"-"
"ENSG00000003393"	"57679"	"ALS2"	"protein_coding"	"chr2"	202565277	202645912	"-"
"ENSG00000003400"	"843"	"CASP10"	"protein_coding"	"chr2"	202047604	202094129	"+"
"ENSG00000003402"	"8837"	"CFLAR"	"protein_coding"	"chr2"	201980827	202041410	"+"
"ENSG00000003436"	"7035"	"TFPI"	"protein_coding"	"chr2"	188328957	188430487	"-"
"ENSG00000003509"	"55471"	"NDUFAF7"	"protein_coding"	"chr2"	37458774	37480546	"+"
"ENSG00000003756"	"10181"	"RBM5"	"protein_coding"	"chr3"	50126341	50156454	"+"
"ENSG00000003987"	"9108"	"MTMR7"	"protein_coding"	"chr8"	17155539	17271037	"-"
"ENSG00000003989"	"6542"	"SLC7A2"	"protein_coding"	"chr8"	17354597	17428082	"+"
"ENSG00000004059"	"381"	"ARF5"	"protein_coding"	"chr7"	127228399	127231759	"+"
"ENSG00000004139"	"23098"	"SARM1"	"protein_coding"	"chr17"	26691378	26728065	"+"
"ENSG00000004142"	"26073"	"POLDIP2"	"protein_coding"	"chr17"	26673659	26684545	"-"
"ENSG00000004399"	"23129"	"PLXND1"	"protein_coding"	"chr3"	129274018	129325661	"-"
"ENSG00000004455"	"204"	"AK2"	"protein_coding"	"chr1"	33473585	33546597	"-"
"ENSG00000004468"	"952"	"CD38"	"protein_coding"	"chr4"	15779898	15854853	"+"
"ENSG00000004478"	"2288"	"FKBP4"	"protein_coding"	"chr12"	2904119	2914576	"+"
"ENSG00000004487"	"23028"	"KDM1A"	"protein_coding"	"chr1"	23345941	23410182	"+"
"ENSG00000004534"	"10180"	"RBM6"	"protein_coding"	"chr3"	49977440	50137478	"+"
"ENSG00000004660"	"84254"	"CAMKK1"	"protein_coding"	"chr17"	3763609	3798185	"-"
"ENSG00000004700"	"5965"	"RECQL"	"protein_coding"	"chr12"	21621845	21654603	"-"
"ENSG00000004766"	"55610"	"CCDC132"	"protein_coding"	"chr7"	92861653	92988338	"+"
"ENSG00000004776"	"126393"	"HSPB6"	"protein_coding"	"chr19"	36245469	36248980	"-"
"ENSG00000004777"	"115703"	"ARHGAP33"	"protein_coding"	"chr19"	36265434	36279724	"+"
"ENSG00000004779"	"4706"	"NDUFAB1"	"protein_coding"	"chr16"	23592323	23607677	"-"
"ENSG00000004799"	"5166"	"PDK4"	"protein_coding"	"chr7"	95212811	95225803	"-"
"ENSG00000004809"	"85413"	"SLC22A16"	"protein_coding"	"chr6"	110745890	110797844	"-"
"ENSG00000004838"	"51364"	"ZMYND10"	"protein_coding"	"chr3"	50378541	50384283	"-"
"ENSG00000004846"	"340273"	"ABCB5"	"protein_coding"	"chr7"	20654830	20816658	"+"
"ENSG00000004848"	"170302"	"ARX"	"protein_coding"	"chrX"	25021811	25034065	"-"
"ENSG00000004864"	"10165"	"SLC25A13"	"protein_coding"	"chr7"	95749532	95951459	"-"
"ENSG00000004866"	"7982"	"ST7"	"protein_coding"	"chr7"	116593292	116870157	"+"
"ENSG00000004866"	"93655"	"ST7"	"protein_coding"	"chr7"	116593292	116870157	"+"
"ENSG00000004897"	"996"	"CDC27"	"protein_coding"	"chr17"	45195069	45266788	"-"
"ENSG00000004939"	"6521"	"SLC4A1"	"protein_coding"	"chr17"	42325753	42345509	"-"
"ENSG00000004948"	"799"	"CALCR"	"protein_coding"	"chr7"	93053799	93204042	"-"
"ENSG00000004961"	"3052"	"HCCS"	"protein_coding"	"chrX"	11129421	11141198	"+"
"ENSG00000004975"	"1856"	"DVL2"	"protein_coding"	"chr17"	7128660	7137864	"-"
"ENSG00000005001"	"64063"	"PRSS22"	"protein_coding"	"chr16"	2902728	2908171	"-"
"ENSG00000005007"	"5976"	"UPF1"	"protein_coding"	"chr19"	18942747	18979045	"+"
"ENSG00000005020"	"8935"	"SKAP2"	"protein_coding"	"chr7"	26706681	27034858	"-"
"ENSG00000005022"	"292"	"SLC25A5"	"protein_coding"	"chrX"	118602363	118605282	"+"
"ENSG00000005059"	"55013"	"CCDC109B"	"protein_coding"	"chr4"	110481361	110609874	"+"
"ENSG00000005073"	"3207"	"HOXA11"	"protein_coding"	"chr7"	27221129	27224842	"-"
"ENSG00000005075"	"5439"	"POLR2J"	"protein_coding"	"chr7"	102113565	102119354	"-"
"ENSG00000005100"	"56919"	"DHX33"	"protein_coding"	"chr17"	5344232	5372380	"-"
"ENSG00000005102"	"4222"	"MEOX1"	"protein_coding"	"chr17"	41717756	41739322	"-"
"ENSG00000005108"	"221981"	"THSD7A"	"protein_coding"	"chr7"	11409984	11871824	"-"
"ENSG00000005156"	"3980"	"LIG3"	"protein_coding"	"chr17"	33307513	33332083	"+"
"ENSG00000005175"	"79657"	"RPAP3"	"protein_coding"	"chr12"	48057070	48099844	"-"
"ENSG00000005187"	"6296"	"ACSM3"	"protein_coding"	"chr16"	20621565	20808903	"+"
"ENSG00000005189"	"81691"	"AC004381.6"	"protein_coding"	"chr16"	20817751	20860987	"+"
"ENSG00000005194"	"57019"	"CIAPIN1"	"protein_coding"	"chr16"	57462081	57481440	"-"
"ENSG00000005206"	"56928"	"SPPL2B"	"processed_transcript"	"chr19"	2328614	2355099	"+"
"ENSG00000005238"	"80256"	"FAM214B"	"protein_coding"	"chr9"	35104109	35116338	"-"
"ENSG00000005243"	"51226"	"COPZ2"	"protein_coding"	"chr17"	46103533	46115392	"-"
"ENSG00000005249"	"5577"	"PRKAR2B"	"protein_coding"	"chr7"	106685094	106802256	"+"
"ENSG00000005302"	"10943"	"MSL3"	"protein_coding"	"chrX"	11776278	11793870	"+"
"ENSG00000005339"	"1387"	"CREBBP"	"protein_coding"	"chr16"	3775055	3930727	"-"
"ENSG00000005379"	"9256"	"BZRAP1"	"protein_coding"	"chr17"	56378592	56406152	"-"
"ENSG00000005381"	"4353"	"MPO"	"protein_coding"	"chr17"	56347217	56358296	"-"
"ENSG00000005421"	"5444"	"PON1"	"protein_coding"	"chr7"	94926988	95025673	"-"
"ENSG00000005436"	"6936"	"GCFC2"	"protein_coding"	"chr2"	75879126	75938115	"-"
"ENSG00000005448"	"84058"	"WDR54"	"protein_coding"	"chr2"	74648805	74652882	"+"
"ENSG00000005469"	"54677"	"CROT"	"protein_coding"	"chr7"	86974997	87029111	"+"
"ENSG00000005471"	"5244"	"ABCB4"	"protein_coding"	"chr7"	87031013	87109751	"-"
"ENSG00000005483"	"55904"	"KMT2E"	"protein_coding"	"chr7"	104654626	104754808	"+"
"ENSG00000005486"	"57414"	"RHBDD2"	"protein_coding"	"chr7"	75471920	75518244	"+"
"ENSG00000005513"	"30812"	"SOX8"	"protein_coding"	"chr16"	1031808	1036979	"+"
"ENSG00000005700"	"25998"	"IBTK"	"protein_coding"	"chr6"	82879700	82957471	"-"
"ENSG00000005801"	"7748"	"ZNF195"	"protein_coding"	"chr11"	3360491	3400448	"-"
"ENSG00000005810"	"23077"	"MYCBP2"	"protein_coding"	"chr13"	77618792	77901185	"-"
"ENSG00000005812"	"26224"	"FBXL3"	"protein_coding"	"chr13"	77566740	77601330	"-"
"ENSG00000005844"	"3683"	"ITGAL"	"protein_coding"	"chr16"	30483979	30534506	"+"
"ENSG00000005882"	"5164"	"PDK2"	"protein_coding"	"chr17"	48172101	48189516	"+"
"ENSG00000005884"	"3675"	"ITGA3"	"protein_coding"	"chr17"	48133332	48167845	"+"
"ENSG00000005889"	"7543"	"ZFX"	"protein_coding"	"chrX"	24167290	24234372	"+"
"ENSG00000005893"	"3920"	"LAMP2"	"protein_coding"	"chrX"	119561682	119603220	"-"
"ENSG00000005961"	"3674"	"ITGA2B"	"protein_coding"	"chr17"	42449548	42466873	"-"
"ENSG00000005981"	"51666"	"ASB4"	"protein_coding"	"chr7"	95107756	95169544	"+"
"ENSG00000006007"	"51573"	"GDE1"	"protein_coding"	"chr16"	19513015	19533467	"-"
"ENSG00000006015"	"55049"	"C19orf60"	"protein_coding"	"chr19"	18699495	18703146	"+"
"ENSG00000006016"	"9244"	"CRLF1"	"protein_coding"	"chr19"	18683030	18718551	"-"
"ENSG00000006025"	"114881"	"OSBPL7"	"protein_coding"	"chr17"	45884738	45899200	"-"
"ENSG00000006042"	"26022"	"TMEM98"	"protein_coding"	"chr17"	31254928	31272124	"+"
"ENSG00000006047"	"51087"	"YBX2"	"protein_coding"	"chr17"	7191571	7197934	"-"
"ENSG00000006059"	"3883"	"KRT33A"	"protein_coding"	"chr17"	39502344	39507064	"-"
"ENSG00000006062"	"9020"	"MAP3K14"	"processed_transcript"	"chr17"	43340488	43394414	"-"
"ENSG00000006071"	"6833"	"ABCC8"	"protein_coding"	"chr11"	17414432	17498449	"-"
"ENSG00000006116"	"10368"	"CACNG3"	"protein_coding"	"chr16"	24266874	24374122	"+"
"ENSG00000006118"	"54972"	"TMEM132A"	"protein_coding"	"chr11"	60691935	60704631	"+"
"ENSG00000006125"	"163"	"AP2B1"	"protein_coding"	"chr17"	33905065	34053436	"+"
"ENSG00000006128"	"6863"	"TAC1"	"protein_coding"	"chr7"	97361220	97369784	"+"
"ENSG00000006194"	"10127"	"ZNF263"	"protein_coding"	"chr16"	3313743	3351401	"+"
"ENSG00000006194"	"283876"	"ZNF263"	"protein_coding"	"chr16"	3313743	3351401	"+"
"ENSG00000006210"	"6376"	"CX3CL1"	"protein_coding"	"chr16"	57406370	57418960	"+"
"ENSG00000006282"	"64847"	"SPATA20"	"protein_coding"	"chr17"	48620419	48633213	"+"
"ENSG00000006283"	"8913"	"CACNA1G"	"protein_coding"	"chr17"	48638429	48704835	"+"
"ENSG00000006327"	"51330"	"TNFRSF12A"	"protein_coding"	"chr16"	3068446	3072384	"+"
"ENSG00000006377"	"1750"	"DLX6"	"protein_coding"	"chr7"	96634860	96640351	"+"
"ENSG00000006432"	"4293"	"MAP3K9"	"protein_coding"	"chr14"	71189243	71276251	"-"
"ENSG00000006451"	"5898"	"RALA"	"protein_coding"	"chr7"	39663082	39747723	"+"
"ENSG00000006453"	"55971"	"BAIAP2L1"	"protein_coding"	"chr7"	97920963	98030380	"-"
"ENSG00000006459"	"80853"	"JHDM1D"	"protein_coding"	"chr7"	139784546	139876835	"-"
"ENSG00000006468"	"2115"	"ETV1"	"protein_coding"	"chr7"	13930853	14031050	"-"
"ENSG00000006530"	"55750"	"AGK"	"protein_coding"	"chr7"	141250989	141355044	"+"
"ENSG00000006534"	"221"	"ALDH3B1"	"protein_coding"	"chr11"	67776048	67796744	"+"
"ENSG00000006555"	"55001"	"TTC22"	"protein_coding"	"chr1"	55245385	55266940	"-"
"ENSG00000006576"	"57157"	"PHTF2"	"protein_coding"	"chr7"	77428122	77586818	"+"
"ENSG00000006606"	"10344"	"CCL26"	"protein_coding"	"chr7"	75398851	75419214	"-"
"ENSG00000006607"	"9855"	"FARP2"	"protein_coding"	"chr2"	242295658	242434256	"+"
"ENSG00000006611"	"10083"	"USH1C"	"protein_coding"	"chr11"	17515442	17565963	"-"
"ENSG00000006625"	"79017"	"GGCT"	"protein_coding"	"chr7"	30536237	30591095	"-"
"ENSG00000006634"	"10926"	"DBF4"	"protein_coding"	"chr7"	87505531	87538856	"+"
"ENSG00000006638"	"6915"	"TBXA2R"	"protein_coding"	"chr19"	3594504	3606838	"-"
"ENSG00000006652"	"3475"	"IFRD1"	"protein_coding"	"chr7"	112063023	112121072	"+"
"ENSG00000006659"	"56891"	"LGALS14"	"protein_coding"	"chr19"	40194946	40200084	"+"
"ENSG00000006695"	"1352"	"COX10"	"protein_coding"	"chr17"	13972813	14111994	"+"
"ENSG00000006704"	"9569"	"GTF2IRD1"	"protein_coding"	"chr7"	73868120	74016931	"+"
"ENSG00000006712"	"54623"	"PAF1"	"protein_coding"	"chr19"	39876492	39881835	"-"
"ENSG00000006715"	"27072"	"VPS41"	"protein_coding"	"chr7"	38762563	38971994	"-"
"ENSG00000006740"	"9912"	"ARHGAP44"	"protein_coding"	"chr17"	12692856	12894960	"+"
"ENSG00000006744"	"60528"	"ELAC2"	"protein_coding"	"chr17"	12895708	12921504	"-"
"ENSG00000006747"	"85477"	"SCIN"	"protein_coding"	"chr7"	12610203	12693228	"+"
"ENSG00000006756"	"414"	"ARSD"	"protein_coding"	"chrX"	2822011	2847392	"-"
"ENSG00000006757"	"8228"	"PNPLA4"	"protein_coding"	"chrX"	7866288	7895780	"-"
